project_id,category,required_skills,complexity,duration_weeks,budget,required_experience_years,preferred_hourly_rate_range,project_description,status
PJ0001,programming,"Node.js, Python, SQL, Java",Low,5,7700.0,7,$16-$34,"Project requiring expertise in Node.js, Python, SQL, Java",Completed
PJ0002,design,"Adobe XD, Illustrator, Logo Design, Graphic Design, UI Design",Medium,2,4650.0,7,$16-$60,"Project requiring expertise in Adobe XD, Illustrator, Logo Design, Graphic Design, UI Design",In Progress
PJ0003,marketing,"SEO, Digital Marketing, Social Media Marketing, PPC",High,9,20250.0,2,$30-$31,"Project requiring expertise in SEO, Digital Marketing, Social Media Marketing, PPC",Open
PJ0004,marketing,"Email Marketing, Digital Marketing, SEO, Social Media Marketing, Content Marketing",High,3,14000.0,1,$16-$87,"Project requiring expertise in Email Marketing, Digital Marketing, SEO, Social Media Marketing, Content Marketing",In Progress
PJ0005,design,"Adobe XD, Photoshop",Low,3,3800.0,5,$18-$54,"Project requiring expertise in Adobe XD, Photoshop",Open
PJ0006,writing,"Technical Writing, Blog Writing, Content Writing, Creative Writing, SEO Writing",Low,1,3900.0,6,$27-$72,"Project requiring expertise in Technical Writing, Blog Writing, Content Writing, Creative Writing, SEO Writing",In Progress
PJ0007,writing,"Blog Writing, Technical Writing, Content Writing",Low,11,10000.0,2,$23-$62,"Project requiring expertise in Blog Writing, Technical Writing, Content Writing",Open
PJ0008,writing,"Creative Writing, Technical Writing, Blog Writing, Content Writing, SEO Writing",High,10,12250.0,5,$28-$89,"Project requiring expertise in Creative Writing, Technical Writing, Blog Writing, Content Writing, SEO Writing",In Progress
PJ0009,marketing,"Analytics, Email Marketing, Social Media Marketing",Low,4,9900.0,4,$29-$54,"Project requiring expertise in Analytics, Email Marketing, Social Media Marketing",Completed
PJ0010,programming,"Ruby, Django, Vue.js",Low,10,1700.0,8,$26-$94,"Project requiring expertise in Ruby, Django, Vue.js",Completed
PJ0011,design,"Adobe XD, Figma",High,9,3750.0,8,$26-$90,"Project requiring expertise in Adobe XD, Figma",Open
PJ0012,programming,"Java, C++, Python",Medium,2,3450.0,8,$29-$67,"Project requiring expertise in Java, C++, Python",In Progress
PJ0013,marketing,"Content Marketing, Social Media Marketing, SEO, PPC, Digital Marketing",Medium,10,10050.0,2,$27-$100,"Project requiring expertise in Content Marketing, Social Media Marketing, SEO, PPC, Digital Marketing",Open
PJ0014,programming,"C++, SQL, Python",High,7,3750.0,3,$17-$76,"Project requiring expertise in C++, SQL, Python",In Progress
