Freelancer_ID,Skills,Experience_Level,Years_of_Experience,Description,Projects,Budget_Hourly,Budget_Project,Location
F0001,"Mobile Development: hybrid app development, android app development, mobile app design, mobile app redesign; General: ",Entry Level,4,"Entry Level Mobile Development professional with experience in hybrid app development, android app development, mobile app design, mobile app redesign.",There go any water only event. for George Ltd,6,$236-$859,Kolkata
F0002,"Education & Training: training online lms, learning theory, teaching spanish; General: ",Intermediate,3,"Intermediate Education & Training professional with experience in training online lms, learning theory, teaching spanish.","For too information. for Smith LLC; Reduce source among kind performance land significant. for Garcia, Martin and Crawford",18,$514-$2068,Pune
F0003,"Cybersecurity: information security consultation, vpn, security testing; General: agile, project management",Intermediate,6,"Intermediate Cybersecurity professional with experience in information security consultation, vpn, security testing.","Include quality stay. for Hill and Sons; Watch old street. for Allen, Walker and Nelson; Civil fact every away Democrat threat question skin. for Keller, Henderson and Pacheco; Compare child large at increase somebody concern. for Patterson-Rodriguez",15,$1336-$2228,Pune
F0004,"Education & Training: training, teaching; General: git",Expert,12,"Expert Education & Training professional with experience in training, teaching.","Yet response family green these. for Brown-Morrison; Store coach management impact appear any establish eat. for Benson Ltd; Return receive show exactly. for Schroeder, Butler and Curtis",39,$4680-$7568,Bangalore
F0005,"DevOps: azure blockchain service, azure app service; General: ",Intermediate,5,"Intermediate DevOps professional with experience in azure blockchain service, azure app service.","Defense myself foot both since. for Stone-Gaines; Page son prove debate service similar foot. for Velez, Mclaughlin and Mclaughlin; Age treatment blood send policy education argue. for Harrington-Garcia",15,$1410-$2586,Kolkata
F0006,"Database Management: database programming, database development; General: git",Expert,9,"Expert Database Management professional with experience in database programming, database development.",Hot assume spring energy her social she school. for Cortez PLC,72,$3594-$9188,Bangalore
F0007,"Education & Training: program evaluation, executive coaching, curriculum development, curriculum design; General: project management",Intermediate,6,"Intermediate Education & Training professional with experience in program evaluation, executive coaching, curriculum development, curriculum design.","First dinner population to. for Simpson, Burke and Carson; Put part both not. for Price Group",23,$1110-$1927,Delhi
F0008,"Business & Consulting: business planning & strategy, business analysis; General: ",Entry Level,7,"Entry Level Business & Consulting professional with experience in business planning & strategy, business analysis.",Quite cell appear field much piece ready. for Melton Ltd,11,$69-$719,Kolkata
F0009,"Education & Training: training design, academic proofreading; General: ",Expert,6,"Expert Education & Training professional with experience in training design, academic proofreading.","Peace goal section. for Thomas-Pierce; Magazine expert world budget money affect his. for Carey, Gonzalez and Smith",42,$1677-$8191,Bangalore
F0010,"Database Management: oracle database administration, sql programming; General: ",Intermediate,6,"Intermediate Database Management professional with experience in oracle database administration, sql programming.","Carry easy song modern. for Benjamin, Jones and Perez; Reality moment hold myself season interest. for Mckinney, Stewart and York; Peace feeling main century finally each. for Patterson-Stanley; Fall appear you bar significant bank. for Moore PLC",24,$1244-$1596,Mumbai
F0011,"UI/UX Design: user interface design, prototyping, ux & ui, mobile ui design; General: git, agile",Expert,15,"Expert UI/UX Design professional with experience in user interface design, prototyping, ux & ui, mobile ui design.",Upon particularly hear human several. for Acevedo-Johnson,65,$4047-$6338,Kolkata
F0012,"Cybersecurity: firewall, source code scanning; General: ",Entry Level,9,"Entry Level Cybersecurity professional with experience in firewall, source code scanning.",Front may clearly like myself. for Gomez-Garcia,5,$228-$593,Kolkata
F0013,"Database Management: transact-sql, database architecture, data warehousing; General: git, sql",Intermediate,10,"Intermediate Database Management professional with experience in transact-sql, database architecture, data warehousing.",Pm me since myself others size table. for Dawson-Mcgrath,29,$1499-$2832,Bangalore
F0014,"Writing & Content Creation: product documentation, ebook writing; General: project management, agile",Entry Level,8,"Entry Level Writing & Content Creation professional with experience in product documentation, ebook writing.","Ground pick individual loss. for Ward, Green and Carroll; Provide pressure idea TV establish Congress our. for Bentley, Suarez and Wright",5,$361-$875,Mumbai
F0015,"Data Science: bayesian statistics, hypothesis testing, data analysis; General: sql, agile",Intermediate,4,"Intermediate Data Science professional with experience in bayesian statistics, hypothesis testing, data analysis.",Difference care law room garden at. for York-Gallagher,25,$715-$2544,Pune
F0016,"Database Management: mariadb, mysql, sql; General: project management",Intermediate,8,"Intermediate Database Management professional with experience in mariadb, mysql, sql.",Truth country pass process fact. for Vaughn-Stone; Ask smile movie Congress. for Dodson Group; Language sing shake audience apply. for Johnston-Lee; Mother far necessary during PM bad music simply. for Nichols Group,22,$1387-$1699,Kolkata
F0017,"UI/UX Design: ux copy, visual communication; General: ",Intermediate,4,"Intermediate UI/UX Design professional with experience in ux copy, visual communication.",Whose open boy guy fight firm. for Burns-Shields,28,$923-$2416,Mumbai
F0018,"Database Management: oracle database, sql; General: ",Intermediate,5,"Intermediate Database Management professional with experience in oracle database, sql.","Them authority former collection other pressure. for White LLC; Upon speak up rest reason such amount. for Alvarado, Pineda and Spencer",20,$595-$2888,Mumbai
F0019,"Web Development: software developer, software architecture & design; General: ",Entry Level,3,"Entry Level Web Development professional with experience in software developer, software architecture & design.","One strategy treat sister. for Nelson, Wilson and Brown",14,$147-$637,Mumbai
F0020,"Translation & Languages: greek, french to english translation, english to italian translation; General: project management",Entry Level,3,"Entry Level Translation & Languages professional with experience in greek, french to english translation, english to italian translation.","Worker owner per others. for Cline, Torres and Mosley",10,$491-$964,Pune
