Freelancer_ID,Skills,Experience_Level,Years_of_Experience,Description,Budget_Hourly,Budget_Project,Location
F0001,"Database Management: database programming, nosql database; General: ",Intermediate,5,"Intermediate Database Management professional with experience in database programming, nosql database.",19,$525-$2559,Bangalore
F0002,"Mobile Development: native app development, mobile ui designer, mobile app testing, ios development; General: git, sql",Entry Level,1,"Entry Level Mobile Development professional with experience in native app development, mobile ui designer, mobile app testing, ios development.",14,$460-$767,Bangalore
F0003,"Graphic & Visual Design: digital art, photo editing; General: sql",Entry Level,10,"Entry Level Graphic & Visual Design professional with experience in digital art, photo editing.",6,$442-$602,Mumbai
F0004,"Marketing & SEO: search engine optimization, google analytics, social media marketing, email marketing; General: git",Expert,3,"Expert Marketing & SEO professional with experience in search engine optimization, google analytics, social media marketing, email marketing.",74,$2046-$5478,Pune
F0005,"Mobile Development: mobile app testing, android sdk, native app development, mobile app development; General: api, agile",Expert,14,"Expert Mobile Development professional with experience in mobile app testing, android sdk, native app development, mobile app development.",56,$4517-$7995,Bangalore
F0006,"Business & Consulting: outreach strategy, organizational development, strategic plan, sales strategy; General: agile",Entry Level,6,"Entry Level Business & Consulting professional with experience in outreach strategy, organizational development, strategic plan, sales strategy.",5,$100-$587,Delhi
F0007,"Project Management: project objectives, lean consulting, project timelines, project portfolio management; General: agile",Expert,8,"Expert Project Management professional with experience in project objectives, lean consulting, project timelines, project portfolio management.",44,$1530-$8018,Kolkata
F0008,"Translation & Languages: english to indonesian translation, malay, romanian; General: ",Entry Level,7,"Entry Level Translation & Languages professional with experience in english to indonesian translation, malay, romanian.",10,$136-$675,Pune
F0009,"Mobile Development: mobile app development, mobile app testing, android app development; General: ",Expert,9,"Expert Mobile Development professional with experience in mobile app development, mobile app testing, android app development.",51,$1777-$5408,Pune
F0010,"Cybersecurity: security assessment & testing, personal information protection & electronic documents act, security policies & procedures documentation, network security; General: ",Intermediate,9,"Intermediate Cybersecurity professional with experience in security assessment & testing, personal information protection & electronic documents act, security policies & procedures documentation, network security.",16,$507-$2562,Pune
F0011,"Marketing & SEO: youtube marketing, google analytics, google optimize, facebook pixel setup & optimization; General: ",Expert,13,"Expert Marketing & SEO professional with experience in youtube marketing, google analytics, google optimize, facebook pixel setup & optimization.",74,$4999-$8305,Mumbai
F0012,"Writing & Content Creation: content writing, speech writing, content creation; General: api, project management",Entry Level,1,"Entry Level Writing & Content Creation professional with experience in content writing, speech writing, content creation.",13,$378-$543,Mumbai
F0013,"Education & Training: teaching english, presentation design, training online lms; General: ",Entry Level,5,"Entry Level Education & Training professional with experience in teaching english, presentation design, training online lms.",5,$296-$565,Mumbai
F0014,"Mobile Development: react native, flutter, native app development, mobile app testing; General: agile, project management",Intermediate,7,"Intermediate Mobile Development professional with experience in react native, flutter, native app development, mobile app testing.",22,$1435-$2862,Chennai
F0015,"Project Management: project management office, lean startup; General: project management, agile",Expert,8,"Expert Project Management professional with experience in project management office, lean startup.",37,$4568-$9824,Pune
F0016,"Education & Training: instructional design, exam preparation, career coaching, academic editing; General: project management",Expert,3,"Expert Education & Training professional with experience in instructional design, exam preparation, career coaching, academic editing.",70,$3120-$7881,Bangalore
F0017,"Writing & Content Creation: content creation, speech writing, content localization, editorial writing; General: agile, sql",Entry Level,6,"Entry Level Writing & Content Creation professional with experience in content creation, speech writing, content localization, editorial writing.",8,$398-$896,Delhi
F0018,"Project Management: project planning, project finance; General: git",Intermediate,7,"Intermediate Project Management professional with experience in project planning, project finance.",22,$797-$1818,Delhi
F0019,"Web Development: flask, django; General: sql",Expert,11,"Expert Web Development professional with experience in flask, django.",47,$3372-$8000,Mumbai
F0020,"Mobile Development: android sdk, ios, mobile app design; General: sql, project management",Expert,14,"Expert Mobile Development professional with experience in android sdk, ios, mobile app design.",53,$2003-$6798,Kolkata
F0021,"Marketing & SEO: marketing analytics, technical seo; General: ",Intermediate,5,"Intermediate Marketing & SEO professional with experience in marketing analytics, technical seo.",28,$615-$2895,Bangalore
F0022,"Education & Training: teaching english, teaching, learning theory, teaching spanish; General: ",Intermediate,3,"Intermediate Education & Training professional with experience in teaching english, teaching, learning theory, teaching spanish.",16,$1090-$1786,Delhi
F0023,"Translation & Languages: ukrainian to english translation, german, vietnamese to english translation; General: agile, sql",Intermediate,5,"Intermediate Translation & Languages professional with experience in ukrainian to english translation, german, vietnamese to english translation.",23,$675-$3000,Kolkata
F0024,"Graphic & Visual Design: photo retouching, 3d texturing, character animation, concept artistry; General: agile",Entry Level,7,"Entry Level Graphic & Visual Design professional with experience in photo retouching, 3d texturing, character animation, concept artistry.",9,$231-$946,Pune
F0025,"Database Management: sql programming, postgresql; General: api",Expert,10,"Expert Database Management professional with experience in sql programming, postgresql.",41,$4810-$6394,Bangalore
F0026,"Project Management: team management, scrum master, project management professional, lean consulting; General: ",Entry Level,8,"Entry Level Project Management professional with experience in team management, scrum master, project management professional, lean consulting.",10,$435-$654,Bangalore
F0027,"Marketing & SEO: google analytics api, analytics & tracking setup, email marketing; General: api",Entry Level,2,"Entry Level Marketing & SEO professional with experience in google analytics api, analytics & tracking setup, email marketing.",11,$384-$594,Bangalore
F0028,"Writing & Content Creation: content guidelines, content creation, content strategy; General: api, git",Intermediate,8,"Intermediate Writing & Content Creation professional with experience in content guidelines, content creation, content strategy.",25,$1016-$1544,Pune
F0029,"Database Management: oracle database administration, database administration, transact-sql; General: ",Intermediate,7,"Intermediate Database Management professional with experience in oracle database administration, database administration, transact-sql.",30,$1066-$1518,Bangalore
F0030,"Business & Consulting: partnership development, organizational structure, business process reengineering, organizational plan; General: project management",Entry Level,9,"Entry Level Business & Consulting professional with experience in partnership development, organizational structure, business process reengineering, organizational plan.",7,$424-$912,Mumbai
F0031,"Writing & Content Creation: content marketing strategy, content seo; General: agile",Expert,5,"Expert Writing & Content Creation professional with experience in content marketing strategy, content seo.",72,$3719-$9834,Delhi
F0032,"DevOps: azure openai, azure devops server, azure iot hub; General: git",Entry Level,2,"Entry Level DevOps professional with experience in azure openai, azure devops server, azure iot hub.",9,$307-$655,Mumbai
F0033,"Business & Consulting: business analysis, corporate strategy; General: ",Entry Level,6,"Entry Level Business & Consulting professional with experience in business analysis, corporate strategy.",13,$444-$857,Bangalore
F0034,"Data Science: snowflake, dashboard, data processing, sql; General: api, agile",Expert,5,"Expert Data Science professional with experience in snowflake, dashboard, data processing, sql.",44,$4368-$6122,Kolkata
F0035,"Database Management: mariadb, database design; General: git, sql",Intermediate,10,"Intermediate Database Management professional with experience in mariadb, database design.",16,$1441-$2190,Chennai
F0036,"Cybersecurity: penetration testing, security infrastructure, firewall; General: api",Expert,14,"Expert Cybersecurity professional with experience in penetration testing, security infrastructure, firewall.",48,$3951-$9202,Kolkata
F0037,"Project Management: milestones, project management professional, project management, change management; General: api, agile",Entry Level,3,"Entry Level Project Management professional with experience in milestones, project management professional, project management, change management.",13,$391-$598,Delhi
F0038,"Business & Consulting: business consulting, business services, organizational behavior, business development; General: ",Entry Level,1,"Entry Level Business & Consulting professional with experience in business consulting, business services, organizational behavior, business development.",11,$288-$982,Delhi
F0039,"Writing & Content Creation: editorial writing, storytelling, content development; General: agile, sql",Entry Level,5,"Entry Level Writing & Content Creation professional with experience in editorial writing, storytelling, content development.",15,$83-$905,Bangalore
F0040,"Graphic & Visual Design: typography, 2d design; General: sql",Expert,7,"Expert Graphic & Visual Design professional with experience in typography, 2d design.",69,$4019-$8516,Delhi
F0041,"Marketing & SEO: market research, campaign optimization, on-page seo, google analytics; General: git, project management",Entry Level,5,"Entry Level Marketing & SEO professional with experience in market research, campaign optimization, on-page seo, google analytics.",12,$195-$608,Mumbai
F0042,"UI/UX Design: responsive design, usability testing; General: ",Expert,4,"Expert UI/UX Design professional with experience in responsive design, usability testing.",49,$2421-$8566,Chennai
F0043,"Education & Training: educational technology, curriculum development, workshop facilitation; General: ",Intermediate,9,"Intermediate Education & Training professional with experience in educational technology, curriculum development, workshop facilitation.",19,$1229-$1533,Bangalore
