freelancer_id,skills,main_category,experience_years,hourly_rate,rating,jobs_completed,success_rate,response_time_hours,on_time_delivery_rate
FR0001,"Analytics, Social Media Marketing, SEO, Content Marketing, Copywriting, Creative Writing, Content Writing, Blog Writing, Technical Writing",marketing,9,78,4.7,71,0.84,27.1,0.91
FR0002,"SEO Writing, Blog Writing, Technical Writing, Content Marketing, Social Media Marketing, Analytics",writing,15,150,3.9,82,0.95,15.5,0.98
FR0003,"Ruby, React, Vue.js, Django",programming,11,48,4.3,18,0.84,33.3,0.98
FR0004,"Graphic Design, Illustrator, UI Design, Logo Design, UX Design",design,4,47,3.7,67,0.87,2.4,0.87
FR0005,"Swift, Python, Java",programming,5,45,4.8,90,0.88,25.7,0.94
FR0006,"SQL, Angular, Django, Swift, C++, Email Marketing, PPC, Social Media Marketing",programming,11,92,4.1,45,0.95,9.4,0.97
FR0007,"Adobe XD, UX Design, Figma, Content Writing, Creative Writing, Copywriting, SEO Writing, Technical Writing",design,5,45,4.3,11,0.99,45.5,0.89
FR0008,"UI Design, Figma, Logo Design, UX Design, Analytics, Digital Marketing, Social Media Marketing",design,3,36,4.0,47,0.81,43.6,0.91
FR0009,"Photoshop, Graphic Design, UI Design, Figma, Email Marketing, Social Media Marketing",design,8,87,3.6,100,0.94,33.4,0.86
FR0010,"Content Marketing, Social Media Marketing, Illustrator, Photoshop",marketing,9,69,4.7,57,0.93,13.0,0.99
FR0011,"React, C++",programming,2,35,4.1,86,0.99,21.7,0.99
FR0012,"Digital Marketing, Content Marketing, Social Media Marketing",marketing,11,114,4.1,8,0.96,31.3,0.97
FR0013,"Content Writing, SEO Writing, Copywriting, Blog Writing",writing,1,20,4.1,78,0.99,5.7,0.89
FR0014,"Email Marketing, PPC",marketing,11,114,4.3,47,0.84,14.4,0.95
FR0015,"Content Marketing, Email Marketing, Social Media Marketing, SEO, Digital Marketing, Blog Writing, Creative Writing, Copywriting",marketing,12,135,4.0,100,0.91,41.2,0.87
FR0016,"Node.js, JavaScript, C++, SEO, Analytics",programming,4,35,3.6,89,0.82,3.1,0.88
FR0017,"UI Design, Photoshop, Logo Design, Adobe XD",design,13,67,3.5,28,0.99,34.1,0.87
FR0018,"Analytics, Content Marketing, Social Media Marketing, Email Marketing",marketing,12,111,4.1,36,0.88,2.8,0.92
FR0019,"UX Design, Logo Design, Illustrator, Photoshop, Figma",design,8,71,3.9,30,0.92,19.4,0.85
FR0020,"Analytics, Content Marketing, Email Marketing, PPC, Digital Marketing",marketing,6,75,4.4,20,0.97,36.3,0.93
FR0021,"Social Media Marketing, SEO, Digital Marketing, PPC",marketing,1,21,3.8,56,0.86,35.5,0.85
FR0022,"Logo Design, Photoshop",design,1,25,4.8,10,0.99,33.2,1.0
FR0023,"Digital Marketing, PPC, SEO, Content Marketing, Technical Writing, SEO Writing, Content Writing",marketing,14,141,4.9,78,0.98,37.1,0.97
FR0024,"Copywriting, Technical Writing, SEO Writing, UI Design, Illustrator",writing,4,43,3.9,22,0.85,22.9,0.88
FR0025,"Creative Writing, Blog Writing",writing,1,19,3.6,74,0.83,47.1,0.88
FR0026,"Angular, Django, PHP, Swift, Java, PPC, Email Marketing, Content Marketing, Digital Marketing",programming,4,27,4.4,9,0.98,8.6,0.88
FR0027,"Digital Marketing, Social Media Marketing, Analytics, Email Marketing, Content Marketing",marketing,7,43,4.9,68,0.92,8.3,0.91
FR0028,"Copywriting, Content Writing, Technical Writing, SEO Writing, Creative Writing",writing,13,132,4.8,22,0.97,25.4,0.85
FR0029,"C++, Vue.js",programming,6,33,3.9,38,0.91,27.8,0.87
FR0030,"SEO Writing, Creative Writing, Copywriting, Technical Writing",writing,14,127,3.7,32,0.99,16.7,0.88
FR0031,"SEO, Digital Marketing",marketing,2,23,4.3,16,0.98,44.4,0.99
FR0032,"Analytics, Email Marketing, Digital Marketing, Social Media Marketing, Content Writing, Technical Writing, Blog Writing, Creative Writing, SEO Writing",marketing,12,123,4.2,74,0.99,21.7,0.86
FR0033,"Email Marketing, SEO",marketing,4,39,4.0,97,0.92,43.9,0.94
FR0034,"PPC, SEO, Digital Marketing, Email Marketing, Analytics",marketing,11,70,5.0,20,0.82,42.7,0.86
FR0035,"UI Design, Logo Design, Figma, Graphic Design, Photoshop",design,15,105,4.5,89,0.88,6.0,0.99
FR0036,"Graphic Design, UX Design, Logo Design, Illustrator",design,4,39,5.0,68,0.88,45.7,0.88
FR0037,"Technical Writing, Blog Writing, Content Writing, Creative Writing",writing,5,50,3.8,65,0.97,45.2,0.98
FR0038,"Content Marketing, Analytics, Email Marketing, Social Media Marketing",marketing,13,119,4.5,40,0.88,15.0,0.89
FR0039,"Figma, Graphic Design, Logo Design, Content Writing, Technical Writing, Copywriting",design,1,23,4.7,15,0.93,17.9,0.99
FR0040,"Technical Writing, Blog Writing, SEO Writing, Creative Writing, React, Python, JavaScript",writing,14,155,4.3,79,0.95,11.9,0.94
FR0041,"Angular, Django, React, C++, Social Media Marketing, Digital Marketing, PPC, Email Marketing",programming,11,125,4.6,67,0.85,2.8,0.96
FR0042,"Content Marketing, Digital Marketing, Email Marketing, Node.js, Ruby, React, C++, Python",marketing,7,50,4.8,97,1.0,42.1,0.91
FR0043,"Java, Angular, SQL, PHP",programming,15,120,4.8,10,0.82,36.6,0.9
FR0044,"C++, JavaScript, Python",programming,14,71,4.8,63,0.83,37.6,0.96
FR0045,"Graphic Design, UX Design, Photoshop, UI Design, Adobe XD, Email Marketing, Digital Marketing, Content Marketing, Social Media Marketing",design,3,42,4.9,78,0.94,26.9,0.85
FR0046,"Creative Writing, Copywriting",writing,9,105,4.3,33,1.0,44.5,0.91
FR0047,"Angular, Swift, C++, JavaScript, SQL, PPC, Digital Marketing, Social Media Marketing, Analytics, Email Marketing",programming,3,45,5.0,83,0.86,42.2,0.87
FR0048,"JavaScript, Angular, React, Java, Django",programming,2,27,4.0,76,0.82,37.8,0.9
FR0049,"Content Marketing, Analytics, Technical Writing, SEO Writing, Creative Writing, Content Writing, Copywriting",marketing,13,119,4.7,57,0.89,16.2,0.89
FR0050,"Creative Writing, Copywriting, SEO Writing",writing,2,25,4.8,37,0.87,25.4,0.9
FR0051,"Blog Writing, SEO Writing, Content Writing, Content Marketing, Email Marketing, PPC, Social Media Marketing",writing,15,75,4.0,77,0.97,17.0,0.9
FR0052,"Copywriting, SEO Writing, Email Marketing, Content Marketing, Social Media Marketing, Digital Marketing, SEO",writing,15,150,3.8,35,0.83,39.5,0.98
FR0053,"Technical Writing, Blog Writing, Creative Writing, Content Writing, Angular, Node.js",writing,11,114,3.8,98,0.92,42.0,0.92
FR0054,"Content Marketing, Social Media Marketing, Digital Marketing, Email Marketing",marketing,14,141,4.7,34,0.97,23.2,0.88
FR0055,"C++, Angular, React",programming,5,30,4.0,85,0.87,34.4,0.95
FR0056,"Figma, UI Design, Photoshop, SEO, Analytics, Email Marketing",design,3,45,4.6,80,0.85,5.0,0.92
FR0057,"SEO Writing, Copywriting, Content Writing, Technical Writing",writing,9,96,4.9,62,1.0,34.7,0.91
FR0058,"Java, JavaScript",programming,5,30,4.5,77,0.99,20.0,0.9
FR0059,"Angular, React, JavaScript, Blog Writing, Content Writing, Creative Writing, Copywriting",programming,4,43,4.6,70,0.99,45.0,0.88
FR0060,"Analytics, Email Marketing, Social Media Marketing, Digital Marketing",marketing,15,120,4.8,52,0.97,38.3,0.87
FR0061,"Technical Writing, Creative Writing",writing,2,21,3.9,70,0.89,7.5,0.87
FR0062,"Content Marketing, PPC, Logo Design, Figma, Illustrator, Photoshop",marketing,4,51,4.4,89,0.94,19.8,0.94
FR0063,"SEO, Digital Marketing, Email Marketing, Graphic Design, Adobe XD, Photoshop, UI Design",marketing,15,150,4.6,69,0.91,45.3,0.95
FR0064,"Vue.js, React, SQL, Python, JavaScript",programming,13,80,3.6,89,0.83,14.0,0.97
FR0065,"Java, Django, Creative Writing, SEO Writing, Content Writing, Technical Writing, Copywriting",programming,7,85,3.9,21,0.89,39.8,0.97
FR0066,"React, JavaScript, Copywriting, Blog Writing, Creative Writing, SEO Writing",programming,6,57,4.9,55,0.92,11.8,0.89
FR0067,"Blog Writing, Content Writing, Technical Writing",writing,3,33,4.4,58,0.98,39.1,0.89
FR0068,"Photoshop, UX Design, Illustrator, Graphic Design, Figma",design,10,115,4.3,38,0.9,40.5,0.97
FR0069,"UX Design, Illustrator, Logo Design, Photoshop, Blog Writing, Copywriting, SEO Writing, Content Writing",design,9,78,4.8,22,0.9,17.7,0.86
FR0070,"Content Writing, Blog Writing, Copywriting, SEO, Social Media Marketing",writing,4,55,4.5,31,0.92,19.2,0.94
FR0071,"UI Design, Adobe XD, Graphic Design, Figma, Django, Angular, Ruby, JavaScript",design,2,23,4.5,23,0.9,41.2,0.96
FR0072,"Content Marketing, Analytics, PPC",marketing,4,55,3.9,55,0.98,43.6,0.94
FR0073,"JavaScript, Python, Angular, Swift, SQL",programming,5,60,4.4,7,0.98,38.4,0.94
FR0074,"Technical Writing, Content Writing, Creative Writing, Copywriting, Blog Writing",writing,7,50,3.6,67,0.88,43.2,0.85
FR0075,"SEO, PPC, Analytics, Digital Marketing, Email Marketing",marketing,13,132,4.8,17,0.94,41.3,0.89
FR0076,"Swift, Django, Vue.js, JavaScript, SQL",programming,3,33,4.4,72,0.96,43.6,0.89
FR0077,"Adobe XD, UI Design, Logo Design, Vue.js, C++, Node.js",design,9,105,3.7,34,0.83,23.5,0.91
FR0078,"Illustrator, Graphic Design",design,15,75,4.6,51,0.97,34.4,0.89
FR0079,"Technical Writing, Content Writing",writing,5,65,3.9,36,0.9,40.3,0.88
FR0080,"Python, Java, Ruby, PHP, React",programming,3,33,4.1,28,0.99,26.7,0.99
FR0081,"Ruby, Python, C++, Django, PHP, UI Design, Illustrator",programming,6,33,5.0,52,0.8,38.9,0.87
FR0082,"Adobe XD, Figma, Graphic Design, UI Design, Photoshop, Content Writing, Copywriting",design,5,50,4.8,19,0.83,18.5,0.99
FR0083,"Creative Writing, SEO Writing, Illustrator, Adobe XD, Figma, Graphic Design",writing,8,87,3.8,62,0.81,12.9,0.85
FR0084,"PPC, SEO, Copywriting, Creative Writing, Blog Writing",marketing,4,43,4.8,68,0.86,18.9,1.0
FR0085,"Creative Writing, Copywriting, SEO Writing, Python, C++, SQL, Angular, Java",writing,9,60,3.6,56,0.84,29.0,0.87
FR0086,"React, C++, JavaScript, Email Marketing, Content Marketing",programming,15,165,4.6,77,0.84,4.8,0.87
FR0087,"Django, Node.js, Swift, Content Marketing, Social Media Marketing",programming,11,92,4.8,51,0.93,45.0,0.86
FR0088,"PPC, Content Marketing",marketing,2,29,4.0,32,0.84,9.6,0.89
FR0089,"Social Media Marketing, Analytics, SEO, PPC, Content Marketing",marketing,15,105,4.3,84,0.83,18.2,0.86
FR0090,"SEO Writing, Technical Writing, Content Writing",writing,5,55,4.1,20,0.87,28.6,0.9
FR0091,"UX Design, Figma, Illustrator, Logo Design, Graphic Design",design,8,79,3.7,31,0.82,21.1,0.98
FR0092,"React, Django, Python, Angular, Node.js",programming,10,65,4.1,35,0.98,46.5,0.87
FR0093,"Adobe XD, Photoshop, Graphic Design, Figma",design,5,55,4.5,68,0.94,34.6,1.0
FR0094,"Technical Writing, Blog Writing, Copywriting, Creative Writing, SEO Writing",writing,10,105,4.0,80,0.83,31.4,0.88
FR0095,"PPC, Social Media Marketing, Content Marketing",marketing,3,36,4.4,84,0.81,3.2,0.92
FR0096,"Illustrator, Photoshop, UX Design, Creative Writing, Blog Writing, Content Writing, Copywriting, Technical Writing",design,15,120,4.9,56,0.92,9.7,0.91
FR0097,"PPC, Email Marketing, PHP, Ruby, Django, Node.js, Java",marketing,7,64,4.7,69,0.94,24.9,0.89
FR0098,"Content Marketing, SEO, Digital Marketing, PPC, Social Media Marketing, Swift, C++",marketing,13,67,4.8,99,0.82,26.6,0.92
FR0099,"SEO, Analytics, Social Media Marketing, Content Marketing, Digital Marketing",marketing,6,63,3.6,74,0.83,6.6,0.88
FR0100,"Content Writing, Blog Writing, Creative Writing, SEO Writing, Logo Design, Illustrator, UI Design, Photoshop",writing,1,18,4.9,80,0.92,1.9,0.87
FR0101,"Creative Writing, SEO Writing, UX Design, Graphic Design, Logo Design, UI Design",writing,14,141,4.9,38,0.83,23.4,0.92
FR0102,"Angular, C++",programming,1,19,4.6,30,0.87,39.0,0.85
FR0103,"SEO Writing, Technical Writing, Blog Writing, Content Writing, Creative Writing, Digital Marketing, Analytics, PPC, SEO",writing,5,35,4.1,10,1.0,42.8,0.98
FR0104,"SEO Writing, Content Writing, UX Design, Photoshop, UI Design, Logo Design, Figma",writing,5,30,4.9,39,0.9,39.8,0.96
FR0105,"Analytics, SEO, Content Marketing",marketing,12,51,4.4,12,0.86,5.7,0.9
FR0106,"UX Design, Photoshop",design,6,63,4.4,86,0.92,7.4,0.98
FR0107,"Digital Marketing, Email Marketing, PPC, Social Media Marketing, Analytics",marketing,1,25,4.3,72,0.84,3.2,0.89
FR0108,"Digital Marketing, Email Marketing, Social Media Marketing, SEO, Analytics",marketing,12,75,3.6,42,0.87,22.8,0.92
FR0109,"Django, Vue.js, Swift",programming,8,39,4.8,76,0.91,40.5,0.88
FR0110,"Swift, Java, JavaScript, Python, Angular, SEO Writing, Content Writing, Copywriting, Technical Writing",programming,11,103,4.8,100,0.91,23.8,0.9
FR0111,"Illustrator, Figma, Photoshop, Adobe XD, Creative Writing, Copywriting, Technical Writing",design,2,33,3.7,60,0.89,4.4,0.98
FR0112,"Email Marketing, Analytics, Content Marketing, Digital Marketing, PPC, Creative Writing, Technical Writing, SEO Writing, Copywriting",marketing,2,35,3.8,56,0.93,15.2,0.91
FR0113,"Photoshop, Adobe XD, Illustrator, Logo Design",design,5,35,4.8,8,0.98,41.5,0.99
